Título do vídeo,Quantidade de Likes,Quantidade de Visualizações,Data de publicação do vídeo
SEGREDOS do Duolingo REVELADOS,20889,156773,2023-08-19T14:30:07Z
Pra que serve o SININHO da GARGANTA?,15848,143106,2023-08-18T20:15:00Z
Alugamos um CARRO de TRÊS RODAS!!!,28176,304532,2023-08-15T20:00:12Z
COMO FUNCIONA uma BOMBA ATÔMICA,84392,725280,2023-08-08T20:00:12Z
Existe CÂNCER no CORAÇÃO? Iberê responde!,47872,478507,2023-08-05T14:30:22Z
A BOLA PERFEITA de FANTASMA,30794,299875,2023-08-01T20:00:30Z
Colocamos ENERGIA SOLAR na MINI CASA,25012,321085,2023-07-29T14:30:05Z
Supercondutores Explicados,36761,277709,2023-08-14T20:00:07Z
o TEMPO passa MAIS DEVAGAR quando OLHAMOS para o RELÓGIO?,58692,266759,2023-08-12T20:00:20Z
É possível apagar alguém da história?,46231,383059,2023-08-10T14:36:22Z
Existe um LIMITE para o CONHECIMENTO?,38846,302054,2023-08-07T20:21:45Z
Esses são TODOS os Estados da Matéria,41731,349241,2023-08-04T20:00:11Z
por que VOCÊ GOSTA de MÚSICA?,59973,274717,2023-08-03T20:00:10Z
